,name,link,class
0,Экономика РФ,https://vk.com/ecoruss?trackcode=31eb2085TMD9JTbUneqEhK3yhAVKFXkHTyZoo-J7V5IhlcYGu24,0
1,"Экономика, которую мы потеряли",https://vk.com/economist?trackcode=cf7670c7dGzCRvIXEtH7HVhCMLy1DYRrhRv3hZTsbcnnqap8rp0,0
2,"Кафедра ""Экономика"" ТГТУ",https://vk.com/tmbstu.economics?trackcode=4608cb25OxpIsUM074z0VFJ1rz1DN5PdtdzNUqdyZb7_s5c_H9U,0
3,Коммерсантъ Экономика,https://vk.com/kommersant.economics?trackcode=20a62364ngXSSc7Px-Wd7cUaLYVgBee5XgtNwX70CQzasCDoprw,0
4,Economy of Armenia | Экономика Армении,https://vk.com/armeconomy?trackcode=0ccbdc7dwd4c5UCKdwEOaEqJrNhbn76EVaNavkoAC85tf2xjRNg,0
5,Простая экономика,https://vk.com/economicasimple?trackcode=dbe3f29eV4ma__oZRBFZvkAcg-HNLHvWIf-xq2qO12cEyoG8hPs,0
6,Простая экономика,https://vk.com/prostoecon?trackcode=e715743bQ2Dneq85V0XeQ5ZFoVRShuTcqNl9goDL3OvvPRbkdAs,0
7,Экономика сегодня,https://vk.com/rueconomics?trackcode=9047a238mZIkabs2hnjnoHEmvlmhtSFSxOyXLpFuExdpITzUnQQ,0
8,Экономика Москвы,https://vk.com/economycomplex?trackcode=8fe43018AcbOYcCYumCqlasW4uBqEI3FGsbNPdZxQef7exkFJPo,0
9,Политика и Экономика,https://vk.com/policyandstrategy?trackcode=42fd6715rnChCy2ITA94KT6K-S6TLkRnQVRx4n49FFPzDRV-7jY,0
10,Плановая экономика,https://vk.com/planned_economy?trackcode=bcc68cc3IdVsSXPXmv5lBFJLexGoFovqUxdzOl0lmexjzRarP8k,0
11,Экономика Калуги,https://vk.com/economic.kaluga?trackcode=f4956af1HoA54Zz6wY3a9PksusiFuMQF0Wo2jYYI7omAeeXyL8U,0
12,ЧЁРНАЯ ЭКОНОМИКА,https://vk.com/chernaya_economika?trackcode=501b02fafoOmApQFdTQD7BSYk9W-J_C661F2HClo4zFpM9M9tg,0
13,Экономика – предприятия/организации заказать,https://vk.com/ogge_ege22021?trackcode=a0a8e34bw2gltKhooxnKnIgrJbWdCPjC7QEetShdM0YdoV2xut8,0
14,"СПбГЭУ, ФЭиФ, Экономика",https://vk.com/fef3051?trackcode=8f9df213oBz7NhRJvEQvm244uy4b-b-UXERT-D4L02BdSZHAIgc,0
15,"Исламская экономика, финансы",https://vk.com/muslimeco_finance?trackcode=a8fd7006ZZ9kHnro6PlbHW_G_ZA_5WSkmcsYZzwL18s8oGtTQ0Q,0
16,Мировая экономика и международный бизнес УрФУ,https://vk.com/ieb_programme?trackcode=86c23b69nklzK219fUAYPLrAtUvyUN64WCWxi1Isaex5pG5eM7k,0
17,"Политика, экономика",https://vk.com/public216562458?trackcode=bb83fd4dkr_nj8VI_ogZfFS6lVtvSj1BLo4f6S8sAUADpl097Y0,0
18,"ЗАМТ ""ЭКОНОМИКА И БУХГАЛТЕРСКИЙ УЧЕТ""",https://vk.com/zamtaccountant?trackcode=ec57032dec2xbn6PPyI5au7jO-la39jHDag3ZReMfauRx6fKqQY,0
19,Экономика и Жизнь,https://vk.com/egonline_ru?trackcode=b3863a89UlhnEh8evtbii684rc3qpskQjCup1-cM8wOK3cH5La0,0
20,Экономика РФ,https://vk.com/ecoruss?trackcode=31eb2085TMD9JTbUneqEhK3yhAVKFXkHTyZoo-J7V5IhlcYGu24,0
21,"Экономика, которую мы потеряли",https://vk.com/economist?trackcode=cf7670c7dGzCRvIXEtH7HVhCMLy1DYRrhRv3hZTsbcnnqap8rp0,0
22,"Кафедра ""Экономика"" ТГТУ",https://vk.com/tmbstu.economics?trackcode=4608cb25OxpIsUM074z0VFJ1rz1DN5PdtdzNUqdyZb7_s5c_H9U,0
23,Коммерсантъ Экономика,https://vk.com/kommersant.economics?trackcode=20a62364ngXSSc7Px-Wd7cUaLYVgBee5XgtNwX70CQzasCDoprw,0
24,Economy of Armenia | Экономика Армении,https://vk.com/armeconomy?trackcode=0ccbdc7dwd4c5UCKdwEOaEqJrNhbn76EVaNavkoAC85tf2xjRNg,0
25,Простая экономика,https://vk.com/economicasimple?trackcode=dbe3f29eV4ma__oZRBFZvkAcg-HNLHvWIf-xq2qO12cEyoG8hPs,0
26,Простая экономика,https://vk.com/prostoecon?trackcode=e715743bQ2Dneq85V0XeQ5ZFoVRShuTcqNl9goDL3OvvPRbkdAs,0
27,Экономика сегодня,https://vk.com/rueconomics?trackcode=9047a238mZIkabs2hnjnoHEmvlmhtSFSxOyXLpFuExdpITzUnQQ,0
28,Экономика Москвы,https://vk.com/economycomplex?trackcode=8fe43018AcbOYcCYumCqlasW4uBqEI3FGsbNPdZxQef7exkFJPo,0
29,Политика и Экономика,https://vk.com/policyandstrategy?trackcode=42fd6715rnChCy2ITA94KT6K-S6TLkRnQVRx4n49FFPzDRV-7jY,0
30,Плановая экономика,https://vk.com/planned_economy?trackcode=bcc68cc3IdVsSXPXmv5lBFJLexGoFovqUxdzOl0lmexjzRarP8k,0
